"from_node";"to_node";"label";"title";"roleCount";"is_same_level"
comp_1;src_1;Glucosamine can be Hydrolysed from Chitin;Chitin, a natural polymer found in Crustacean Shells such as Shrimp and Crabs, can be chemically or enzymatically broken down and deacetylated to produce Glucosamine, a compound widely used in Joint Health Supplements.;1;0
comp_1;src_2;Glucosamine can be Fermented from Corn;Glucosamine can also be produced from Corn through microbial fermentation, where corn-derived Glucose is converted into Glucosamine. This method provides a non–shellfish alternative often marketed as suitable for vegans and people with shellfish allergies.;1;0
comp_10;src_25;Collagen (Type I, V, X) can be Extracted from Eggshell Membrane;Eggshell Membrane (ESM) is a natural, sustainable, vegetarian-friendly source of Collagen Type I, V, X and other joint-supporting compounds. ESM is becoming a more popular alternative source for Collagen to Bovine and Marine sources.;1;0
comp_11;src_26;Calcium Carbonate (CaCO3) can be Extracted from Eggshells;Eggshells are composed of around 95–97% Calcium Carbonate and are typically cleaned, heat-treated (boiled or baked), and ground into a fine powder for further use.;1;0
comp_11;src_27;Calcium Carbonate (CaCO3) can be Processed from Limestone;Calcium Carbonate is produced from Limestone primarily through mechanical crushing and chemical processing (precipitation) to produce high-purity Precipitated Calcium Carbonate;1;0
comp_11;src_28;Calcium Carbonate (CaCO3) can be Processed from Chalk;Calcium Carbonate can be produced from ground Chalk as Ground Calcium Carbonate (GCC), or further processed through calcination and carbonation to form purer Precipitated Calcium Carbonate (PCC).;1;0
comp_11;src_29;Calcium Carbonate (CaCO3) can be Processed from Marble;Calcium Carbonate can be produced from Marble dust or powder as a waste-derived source, then further chemically processed to obtain higher-purity Precipitated Calcium Carbonate (PCC);1;0
comp_2;src_3;Chondroitin can be Hydrolysed from Animal Cartilage;Animal Cartilage from land animals such as Cattle and Pigs is commonly processed through enzymatic hydrolysis and purification to extract Chondroitin Sulfate, a compound widely used in Joint Health Supplements.;1;0
comp_2;src_5;Chondroitin can be Hydrolysed from Shark Cartilage;Shark Cartilage is a traditional source of Chondroitin Sulfate, obtained through multi-step extraction and purification processes. It has been widely used in supplements, though its sourcing raises conservation and sustainability concerns.;1;0
comp_3;comp_4;Derivative;Gelatin is produced by breaking down Collagen (primarily type I) from the skins/hides, bones, and connective tissues of Pigs, Cattle, or Avian sources through heat and controlled processing, converting it into a soluble, gel-forming protein.;1;1
comp_4;src_10;Collagen (Type I, III) can be Extracted from Bovine Hides;Bovine Hides are rich in Type I Collagen, and also contain significant amounts of Collagen Type III, Bovine Collagen is often used in Supplements due to its similarity to Human Collagen.;1;0
comp_4;src_11;Collagen (Type I, III) can be Extracted from Bovine Connective Tissues (Tendons, Ligaments, and Fascia);Bovine Connective Tissues are primarily composed of Type I and Type III Collagen, commonly processed into Gelatin or Hydrolyzed Collagen for Supplements.;1;0
comp_4;src_19;Collagen (Type I, III) can be Extracted from Porcine Bones;Collagen extracted from Porcine Bones is primarily Type I Collagen, often accompanied by smaller amounts of Type III Collagen. It is commonly used to make Gelatin, Collagen Peptides, food ingredients, and nutraceutical products.;1;0
comp_4;src_21;Collagen (Type I, III) can be Extracted from Avian Skin;Avian Skins, especially Chicken, contain Type I and III Collagen, processed into Broth Products, Collagen Peptides, and limited Cosmetic and Food Applications.;1;0
comp_4;src_22;Collagen (Type I, III) can be Extracted from Pig Skin;Pig Skin is a major commercial source of Type I and Type III Collagen. It is highly bioavailable, rich in glycine and proline, and is widely processed into Food-Grade Collagen, Gelatin, Sausage Casings, and Cosmetic or Pharmaceutical Collagen products.;1;0
comp_4;src_23;Collagen (Type I, III) can be Extracted from Porcine Connective Tissues (Tendons, Ligaments, and Fascia);Porcine Connective Tissues, including tendons and fascia, are rich in Type I Collagen and are processed into Collagen Peptides, Joint Health Supplements, and functional food ingredients.;1;0
comp_4;src_9;Collagen (Type I, III) can be Extracted from Bovine Bones;Animal Bones are cleaned and demineralised using acid or alkali treatments to release Type I Collagen, which can then be further processed into Collagen or Gelatin.;1;0
comp_5;src_12;Marine Collagen (Type I) can be Extracted from Fish Scales & Skin;Marine Collagen is commonly extracted from Fish Scales and Skins, which are cleaned and treated with acid or enzymes to isolate Type I Collagen. These sources are widely used in Cosmetics, Wound Dressings, and skincare products due to their high bioavailability and marine origin.;1;0
comp_5;src_13;Marine Collagen (Type I) can be Extracted from Fish Byproducts (heads, bones, fins, vertebrae, cartilage);Marine Collagen is also extracted from Fish Byproducts such as heads, fins, bones, cartilage, and vertebrae. These materials are cooked or enzymatically processed to release Collagen, which is commonly used in Marine Collagen Powders, Collagen Peptides, and certain Pharmaceutical Products.;1;0
comp_5;src_5;Marine Collagen (Type I) can be Extracted from Shark Cartilage;Shark Cartilage is a controversial source of Marine Collagen, often marketed as a high-value ingredient because it is rich in Type II Collagen, which is associated with joint and cartilage support.;1;0
comp_6;src_15;MSM (Methylsulfonylmethane) can be Oxidised from DMSO (Dimethyl Sulfoxide);MSM used in Dietary Supplements is typically synthesised by oxidising DMSO (Dimethyl Sulfoxide) through controlled chemical or electrochemical processes, producing a stable, bioavailable sulfur compound.;1;0
comp_7;src_16;Hyaluronic Acid can be Extracted from Rooster Combs;Hyaluronic Acid (HA) has traditionally been extracted from connective tissues in Rooster Combs through purification and isolation processes, and was historically a primary commercial source.;1;0
comp_7;src_17;Hyaluronic Acid can be Fermented from Bacteria (Streptococcus spp. or Bacillus spp.);Today, Hyaluronic Acid is widely produced using Bacterial Fermentation, where selected Microorganisms synthesise HA in controlled bioreactors. This method is preferred for its scalability, purity, and suitability for Pharmaceuticals, Cosmetics, and Joint Health Supplements.;1;0
comp_8;src_18;Surimi can be Processed from Fish Meat & Products;Surimi is made from Fish Meat, which is finely minced, repeatedly washed to remove fats and pigments, and blended with stabilisers to create a neutral-flavoured protein base used in products such as Crab Sticks and other seafood analogues.;1;0
comp_9;src_20;Collagen (Type II) can be Extracted from Avian (Poultry) Bones;Poultry Bones (especially Chicken) are rich in Collagen Type II, commonly extracted from Sternum Bones and Cartilage for use in Joint Support Formulas.;1;0
comp_9;src_24;Collagen (Type II) can be Extracted from Poultry Connective Tissues (Tendons, Ligaments, and Fascia);Poultry Connective Tissues contain smaller amounts of Collagen (type II) and are less commonly used at industrial scale, but are still processed into Broths and Joint Support Formulas.;1;0
comp_9;src_3;Collagen (Type II) can be Extracted from Animal Cartilage;Animal Cartilage (especially Chicken), is rich in Type II Collagen, often processed to extract Collagen for use in Joint Health Supplements and biomedical applications.;1;0
con_1;con_6;;Monoculture Farming drives Excessive Fertilisation, as repeatedly growing the same crop exhausts soil nutrients and degrades the soil microbiome. (125);1;1
con_1;consq_15;Contributes to;Runoff of nutrients, especially Nitrogen and Phosphate from soil Fertilisers, can enter lakes, estuaries, and other water bodies, leading to Eutrophication. (133);1;0
con_12;consq_6;Drives;Energy Consumption is a primary driver of Climate Change, as its production accounts for the majority of Greenhouse Gas Emissions, mainly through the burning of fossil fuels. (136);1;0
con_19;consq_2;Results from;Soil Fertility Decline can result from Soil Contamination, as pollutants degrade soil structure and harm beneficial organisms, reducing agricultural productivity (165);1;0
con_19;consq_8;Contributes to;Soil Fertility Decline and Soil Erosion reinforce each other: The loss of organic matter reduces soil structure and makes soils more vulnerable to erosion, while erosion removes nutrient-rich topsoil, further diminishing soil fertility. (149);1;0
con_19;imp_11;Results in;Soil Fertility Decline reduces Agricultural Yields by limiting nutrient availability, weakening soil structure, and impairing crop growth and productivity (124);1;0
con_2;con_4;;Pesticides and Herbicides contribute to Soil Degradation by killing beneficial soil microbes, disrupting nutrient cycles, damaging soil structure, and leaving persistent residues. (138);1;1
con_2;con_6;;Monoculture Farming typically requires higher Pesticide & Herbicide Use because single-crop systems are more vulnerable to pests and disease outbreaks. (125);1;1
con_2;consq_1;Contributes to;Pesticides leach from fields into groundwater and surface water, elevating toxicity levels. (25, 122);1;0
con_2;consq_11;Contributes to;The use of agricultural Herbicides and Pesticides contributes to Antibiotic/Antimicrobial Resistance by promoting the development and spread of antibiotic-resistance genes in bacteria through selective pressure (205, 206);1;0
con_2;consq_13;Leads to;Repeated use of Pesticides and Herbicides drives natural selection and revolutionary adaptation. (128);1;0
con_2;consq_2;Contributes to;Herbicide residues persist in soil, reducing microbial diversity and affecting soil health in fields. (25, 121);1;0
con_2;consq_3;Contributes to;Pesticides can enter air through evaporation, spray drift during application, and wind erosion of contaminated soil (25, 122);1;0
con_2;consq_4;Contributes to;Pesticides can kill off beneficial insects, pollinators, non-target species, and disrupt soil fauna (120);1;0
con_20;consq_17;Leads to;Disease Outbreaks, such as Bird Flu or Foot and Mouth Disease, often lead to Mass Culling where millions of livestock are destroyed to prevent further spread (158);1;0
con_20;consq_18;Results in;Disease Outbreaks lead to interspecies or intraspecies Transmission, occurring directly or indirectly through interactions among the agent, host, and environment (159);1;0
con_3;con_6;;Monoculture Farming increases Water Overuse because uniform root systems reduce soil structure, water uptake, and water retention. (125);1;1
con_3;consq_7;Causes;Water Overuse, particularly in Agriculture, drives Ground Water Depletion by extracting water faster than natural recharge rates. (120);1;0
con_4;con_19;;Soil Fertility Decline is a component of Soil Degradation, where loss of organic matter weakens soil structure, increases compaction, reduces water infiltration, and disrupts beneficial soil organisms (124);1;1
con_4;con_6;;Monoculture Farming disrupts soil balance by depleting nutrients, reducing fertility, and accelerating Soil Erosion, as a single crop root system cannot adequately retain water or stabilize soil. (125);1;1
con_4;consq_8;Results in;Soil degradation weakens the soil's structure and reduces organic matter, making it more vulnerable to erosion by wind and water. (120, 124, 149);1;0
con_4;imp_11;Results in;Soil Degradation is a major challenge for Agriculture, as its cascading impacts have caused significant losses in Agricultural Yields (186);1;0
con_5;consq_14;Causes;Deforestation destroys habitats, causing widespread habitat loss and endangering many plant and animal species. (126,127);1;0
con_5;consq_3;Exacerbates;Deforestation worsens atmospheric carbon levels, as the loss of trees diminishes the capacity of forests to sequester CO2. (127);1;0
con_5;consq_6;Contributes to;Deforested areas lose the ability to regulate moisture and water cycles, altering weather patterns and contributing to Climate Change. (127);1;0
con_5;consq_8;Leads to;Deforestation leads to Soil Erosion as the loss of trees reduces water retention and destabilizes topsoil, particularly in coastal areas. (127);1;0
con_5;imp_6;Contributes to;Forests sustain the livelihoods of millions of people, communities, and national economies. Deforestation diminishes these resources, indirectly affecting the economy. (126);1;0
con_6;con_19;;Monoculture Farming causes significant Soil Fertility Decline by depleting nutrients and reducing beneficial microbes and organisms that maintain soil health. (141);1;1
con_6;consq_4;Contributes to;Monoculture reduces Biodiversity and leads to a less resilient and poorer ecosystem. (125);1;0
con_6;consq_9;Results in;Expansion of monocultures converts natural ecosystems, reducing habitat connectivity for wildlife. (120);1;0
con_7;con_12;;Energy Overconsumption, largely linked to Energy Production, accounts for roughly 75% of global GHG Emissions. (136);1;1
con_7;consq_6;Causes;Greenhouse Gases such as Carbon Dioxide, Methane, Nitrous Oxide, and certain synthetic chemicals trap outgoing heat in the atmosphere, altering climate and weather patterns. (135);1;0
con_8;consq_11;Leads to;Antibiotic Overuse or Misuse in humans, animals, and plants is a primary driver of Drug/Antibiotic/Antimicrobial Resistance in pathogens (204);1;0
consq_1;consq_11;;Heavy metals, diluted biocides, and pharmaceutical contaminants in waterways exert selective pressure on aquatic bacteria, promoting the development and spread of resistance through gene transfer, and contributing to Drug/Antibiotic/Antimicrobial Resistance (205, 206);1;1
consq_1;consq_15;;Water Contamination with excess nutrients such as Nitrogen and Phosphorus leads to Eutrophication, promoting Algal Blooms and Dead Zones (oxygen depletion). (133);1;1
consq_1;consq_17;;Mass Culling poses significant risks of Water Contamination through carcass burial, potentially allowing pathogens to leach into groundwater and nearby surface water sources. (162);1;1
consq_1;consq_19;;Water Contamination leads to Food Chain Bioaccumulation when aquatic organisms absorb persistent toxins such as methylmercury, PCBs, PFAS, microplastics, and heavy metals, which then biomagnify up the food chain, resulting in apex predators, including humans, having the highest concentrations and increased risk of toxicity (166);1;1
consq_1;consq_2;;Soil Contaminants, including Pesticides, Fertilisers, and Heavy Metals, can leach into groundwater and flow into surface waters. (130);1;1
consq_1;consq_3;;Pollutants released into the air—such as Sulfur, Nitrogen, and Heavy Metals—can enter rivers, lakes, and oceans through rain, snow, or airborne dust. (129);1;1
consq_1;imp_10;Results in;Contaminated Water from human activities introduces microbes, chemicals, heavy metals, and radioactive elements into drinking water sources such as rivers, groundwater, and tanks, making it unsafe without proper treatment. (142);1;0
consq_1;imp_2;Drives;Water Contamination harms both aquatic and terrestrial ecosystems. Pollutants directly damage aquatic life and can infiltrate soils, altering their properties and harming plants, creating cascading effects that can lead to Ecosystem Degradation or even Collapse. (144);1;0
consq_1;imp_4;Results in;Water Contamination not only threatens drinking water, but also harms human health through non-drinking pathways, such as skin contact with polluted water and inhalation of contaminated droplets or aerosols. (142, 143);1;0
consq_10;consq_17;;Mass Culling using chemical methods, such as PFAS-based agents in poultry operations, carries risks of environmental Chemical Exposure due to their persistence and potential for bioaccumulation (163);1;1
consq_10;consq_19;;Toxic Substances released into the environment from human activities can accumulate in organisms through Bioaccumulation and biomagnify across the food chain, ultimately entering the human body (199);1;1
consq_10;imp_4;Leads to;Environmental Chemical Exposure to toxic pollutants such as heavy metals, dioxins, pesticides, and benzene leads to Human Health Impacts through inhalation, ingestion, and bioaccumulation, resulting in respiratory diseases, cancers, metabolic disorders, neurodegenerative conditions, and increased mortality (199);1;0
consq_11;consq_17;;Mass Culling of Livestock can act as a point source for Antibiotic Resistance, as residual antibiotics in carcasses may leach into the environment and promote the gradual development of resistant microbial strains (164);1;1
consq_11;imp_29;Causes;Antibiotic/Antimicrobial Resistance is one of the most significant global Public Health threats, directly causing ~1.27 million deaths in 2019 and contributing to ~4.95 million additional deaths globally (204);1;0
consq_11;imp_4;Leads to;Antibiotic/Antimicrobial Resistance reduces treatment effectiveness, impacting Human Health by increasing transmission, severity of illness, risk of disability, and mortality (204);1;0
consq_13;imp_11;Results in;Resistant Pests and Weeds reduce Agricultural Productivity by rendering standard treatments ineffective, increasing chemical use, and ultimately lowering Agricultural Yields;1;0
