"id";"label";"type";"title";"shape";"image";"is_sustainable"
"comp_1";"Glucosamine";"Composition";"Natural Compound: A natural sugar found in shellfish shells, fungal cell walls, and the human body; a building block of cartilage that supports joint health (22)";;;
"comp_2";"Chondroitin";"Composition";"Natural Compound: A natural substance found in cartilage around joints that helps maintain cartilage structure and cushion the joints (22)";;;
"comp_3";"Gelatin";"Composition";"Natural Compound: A protein derived by boiling animal tissues, used as a gelling agent, thickener, or stabilizer in food, pharmaceutical, and industrial products, providing texture, elasticity, or encapsulation properties ()";;;
"comp_4";"Collagen";"Composition";"Natural Compound: A structural protein abundant in animal tissues such as skin, bones, and connective tissues; commercially extracted for use in gelatin production, collagen peptides, nutraceuticals, cosmetics, pharmaceuticals, and biomedical applications ()";;;
"comp_5";"Marine Collagen";"Composition";"Natural Compound: Collagen derived from marine life, most commonly fish, smaller peptide sizes than land-animal collagen, and is thought to be better absorbed by the body ()";;;
"comp_6";"MSM (Methylsulfonylmethane)";"Composition";"Natural Compound: A natural organic sulfur compound found in many living organisms, often used as a dietary supplement for potential joint and skin health benefits ()";;;
"comp_7";"Hyaluronic Acid";"Composition";"Natural Compound: A naturally occurring polysaccharide found in connective tissues and skin, known for its exceptional ability to retain moisture and support skin hydration, joint lubrication, and tissue repair ()";;;
"comp_8";"Surimi";"Composition";"Processed Food Product: Paste made from minced and rinsed Meat of mild-flavoured, lean, white Fish (most commonly Alaska Pollock and Pacific Whiting) ()";;;
"con_1";"Excessive Fertilisation";"Concern";"Overuse of chemical fertilisers. Often relates to Agriculture";;;
"con_10";"Industrial Waste";"Concern";"Generation of hazardous or non-recyclable waste from industry. Often relates to Various Industries";;;
"con_11";"Plastic Pollution";"Concern";"Accumulation of plastic waste in the environment. Often relates to Various Industries";;;
"con_12";"Energy Overconsumption";"Concern";"High use of fossil fuels or non-renewable energy. Often relates to Various Industries";;;
"con_13";"Overfishing";"Concern";"Excessive harvesting of marine species. Often relates to Fishing";;;
"con_14";"Habitat Destruction";"Concern";"Direct elimination of natural habitats for development. Often relates to Various Industries";;;
"con_15";"Mining Activities";"Concern";"Extraction of minerals, including rare earths. Often relates to Energy Production";;;
"con_16";"Urbanisation";"Concern";"Expansion of urban areas into natural landscapes. Often relates to Urban Development";;;
"con_17";"Labour Exploitation";"Concern";"Unfair labor practices, including child labor. Often relates to Various Industries";;;
"con_18";"IUU Fishing";"Concern";"Illegal, unreported, or unregulated fishing practices. Often relates to Fishing";;;
"con_2";"Pesticide & Herbicide Use";"Concern";"Application of synthetic pesticides and herbicides. Often relates to Agriculture";;;
"con_3";"Water Overuse";"Concern";"Excessive withdrawal of groundwater or surface water. Often relates to Various Industries";;;
"con_4";"Soil Degradation";"Concern";"Loss of soil nutrients or structure due to farming practices. Often relates to Various Industries";;;
"con_5";"Deforestation";"Concern";"Clearing of forests for agriculture or development. Often relates to Various Industries";;;
"con_6";"Monoculture Farming";"Concern";"Cultivation of single crop species over large areas. Often relates to Agriculture";;;
"con_7";"Greenhouse Gas (GHG) Emissions";"Concern";"Release of CO2, methane, and other GHGs from human activities. Often relates to Various Industries";;;
"con_8";"Antibiotic Overuse";"Concern";"Excessive use of antibiotics in agriculture or medicine. Often relates to Various Industries";;;
"con_9";"Genetic Modification";"Concern";"Use of genetically modified organisms in agriculture. Often relates to Agriculture";;;
"consq_1";"Water Contamination";"Consequence";"Degradation of water quality by pollutants";;;
"consq_10";"Chemical Exposure";"Consequence";"Human or wildlife contact with toxic substances";;;
"consq_11";"Antibiotic Resistance";"Consequence";"Increased resistance of bacteria to antibiotics";;;
"consq_12";"Resource Scarcity";"Consequence";"Depletion of natural resources like water or minerals";;;
"consq_13";"Pesticide-Resistant Pests";"Consequence";"Development of pest resistance to chemical controls";;;
"consq_2";"Soil Contamination";"Consequence";"Accumulation of harmful substances in soil";;;
"consq_3";"Air Pollution";"Consequence";"Release of particulates or gases into the atmosphere";;;
"consq_4";"Biodiversity Loss";"Consequence";"Reduction in species diversity or population";;;
"consq_5";"Ocean Acidification";"Consequence";"Decrease in ocean pH due to CO2 absorption";;;
"consq_6";"Climate Change";"Consequence";"Global warming and altered weather patterns";;;
"consq_7";"Groundwater Depletion";"Consequence";"Reduction in groundwater reserves";;;
"consq_8";"Soil Erosion";"Consequence";"Loss of topsoil due to wind or water";;;
"consq_9";"Habitat Fragmentation";"Consequence";"Division of habitats into smaller, isolated patches";;;
"iCountry_1";"USA";"iCountry";"USA";"image";"https://flagsapi.com/US/flat/64.png";
"iCountry_10";"Indonesia";"iCountry";"Indonesia";"image";"https://flagsapi.com/ID/flat/64.png";
"iCountry_11";"European Union";"iCountry";"European Union";"image";"src/Assets/eu_flag.svg";
"iCountry_12";"Ecuador";"iCountry";"Ecuador";"image";"https://flagsapi.com/EC/flat/64.png";
"iCountry_13";"Brazil";"iCountry";"Brazil";"image";"https://flagsapi.com/BR/flat/64.png";
"iCountry_14";"Argentina";"iCountry";"Argentina";"image";"https://flagsapi.com/AR/flat/64.png";
"iCountry_15";"Ukraine";"iCountry";"Ukraine";"image";"https://flagsapi.com/UA/flat/64.png";
"iCountry_16";"South Korea";"iCountry";"South Korea";"image";"https://flagsapi.com/KR/flat/64.png";
"iCountry_17";"Philippines";"iCountry";"Philippines";"image";"https://flagsapi.com/PH/flat/64.png";
"iCountry_18";"Bangladesh";"iCountry";"Bangladesh";"image";"https://flagsapi.com/BD/flat/64.png";
"iCountry_19";"Hong Kong";"iCountry";"Hong Kong";"image";"https://flagsapi.com/HK/flat/64.png";
"iCountry_2";"Australia";"iCountry";"Australia";"image";"https://flagsapi.com/AU/flat/64.png";
"iCountry_20";"United Kingdom";"iCountry";"United Kingdom";"image";"https://flagsapi.com/GB/flat/64.png";
"iCountry_21";"Spain";"iCountry";"Spain";"image";"https://flagsapi.com/ES/flat/64.png";
"iCountry_22";"Taiwan";"iCountry";"Taiwan";"image";"https://flagsapi.com/TW/flat/64.png";
"iCountry_23";"Malaysia";"iCountry";"Malaysia";"image";"https://flagsapi.com/MY/flat/64.png";
"iCountry_24";"Singapore";"iCountry";"Singapore";"image";"https://flagsapi.com/SG/flat/64.png";
"iCountry_25";"Ireland";"iCountry";"Ireland";"image";"https://flagsapi.com/IE/flat/64.png";
"iCountry_26";"Switzerland";"iCountry";"Switzerland";"image";"https://flagsapi.com/CH/flat/64.png";
"iCountry_27";"Belgium";"iCountry";"Belgium";"image";"https://flagsapi.com/BE/flat/64.png";
"iCountry_28";"France";"iCountry";"France";"image";"https://flagsapi.com/FR/flat/64.png";
"iCountry_29";"Lithuania";"iCountry";"Lithuania";"image";"https://flagsapi.com/LT/flat/64.png";
"iCountry_3";"Canada";"iCountry";"Canada";"image";"https://flagsapi.com/CA/flat/64.png";
"iCountry_30";"Peru";"iCountry";"Peru";"image";"https://flagsapi.com/PE/flat/64.png";
