"from_node";"to_node";"label";"title";"roleCount";"is_same_level"
"comp_1";"src_1";"Glucosamine can be Hydrolysed from Chitin";"Chitin can be processed by chemical or enzymatic hydrolysis, then deacetylation to make Glucosamine";"1";"0"
"comp_1";"src_2";"Glucosamine can be Fermented from Corn";"Glucosamine can be made by fermenting corn, converting corn-derived Glucose into Glucosamine using microorganisms";"1";"0"
"comp_2";"src_3";"Chondroitin can be Hydrolysed from Animal Cartilage";"Animal Cartilage is typically enzymatically hydrolysed and purified for Chondroitin Sulfate";"1";"0"
"comp_2";"src_5";"Chondroitin can be Hydrolysed from Shark Cartilage";"Shark Cartilage undergoes a series of purification and extraction procedures to isolate Chondroitin sulfate";"1";"0"
"comp_3";"comp_4";;"Collagen obtained from animal sources undergoes controlled hydrolysis and denaturation, breaking it down into soluble Gelatin";"1";"1"
"comp_3";"src_10";"Gelatin can be Hydrolysed from Animal Skins/Hides";"Gelatin is made by partially hydrolyzing Collagen extracted from Animal Skins or Hides, often from Cattle and Pigs";"1";"0"
"comp_3";"src_11";"Gelatin can be Hydrolysed from Animal Tendons, Ligaments, and Fascia";"Gelatin is made by partially hydrolyzing Collagen extracted from Tendons, Ligaments, and Fascia of animals, commonly Cattle and Pigs";"1";"0"
"comp_3";"src_3";"Gelatin can be Hydrolysed from Animal Cartilage";"Gelatin is made by partially hydrolyzing Collagen from Animal Cartilage and other tissues, commonly from Cattle and Pigs";"1";"0"
"comp_3";"src_9";"Gelatin can be Hydrolysed from Animal Bones";"Gelatin is made by partially hydrolyzing Collagen extracted from Animal Bones, commonly from Cattle and Pigs";"1";"0"
"comp_4";"comp_5";;"Marine Collagen is Collagen derived from marine sources";"1";"1"
"comp_4";"src_10";"Collagen can be Extracted from Animal Skins/Hides";"Animal Skins and Hides are washed, defatted, and soaked in acid or alkali to break down cellular structures, allowing Type I Collagen to be extracted. This is followed by thermal or enzymatic hydrolysis";"1";"0"
"comp_4";"src_11";"Collagen can be Extracted from Animal Tendons, Ligaments, and Fascia";"Animal's dense Connective Tissues are high in Type I Collagen. They are mechanically or chemically broken down and enzymatically hydrolyzed to extract Collagen for nutraceuticals and biomedical use";"1";"0"
"comp_4";"src_3";"Collagen can be Extracted from Animal Cartilage";"Animal Cartilage, rich in Type II Collagen, is separated from Bones and Connective Tissues, then enzymatically or chemically treated to extract Collagen for use in Joint Health Supplements and biomedical applications";"1";"0"
"comp_4";"src_9";"Collagen can be Extracted from Animal Bones";"Animal Bones are cleaned, degreased, and treated with acid or alkali to demineralize them, releasing Type I Collagen. The material is then subjected to heat or enzymatic hydrolysis for Collagen or Gelatin production";"1";"0"
"comp_5";"src_12";"Marine Collagen can be Extracted from Fish Scales & Skin";"Marine Collagen is extracted from Fish Scales and Skins, which are cleaned and treated with acid or enzymes to isolate Type I collagen. Commonly used in cosmetics and wound care products due to its high bioavailability";"1";"0"
"comp_5";"src_13";"Marine Collagen can be Extracted from Other Fish Parts";"Marine Collagen is also extracted from Fish Parts other than scales and skins, including heads, fins, bones, and vertebrae. These parts are cooked or enzymatically treated to extract collagen, commonly used in marine collagen powders, peptides, and pharmaceutical products";"1";"0"
"comp_6";"src_15";"MSM (Methylsulfonylmethane) can be Oxidised from DMSO (Dimethyl Sulfoxide)";"MSM used in supplements is typically synthesized in labs by oxidizing DMSO (dimethyl sulfoxide) through chemical or electrochemical methods";"1";"0"
"comp_7";"src_16";"Hyaluronic Acid can be Extracted from Rooster Combs";"Hyaluronic Acid is traditionally extracted from connective tissues in Rooster Combs via purification processes";"1";"0"
"comp_7";"src_17";"Hyaluronic Acid can be Fermented from Bacteria (Streptococcus spp. or Bacillus spp.)";"Hyaluronic Acid (HA) is widely made today by microbial fermentation";"1";"0"
"comp_8";"src_18";"Surimi can be Processed from Fish Meat & Products";"Surimi is made from Fish Meat through a process of washing, mincing, and blending with stabilisers";"1";"0"
"con_1";"consq_1";"Contributes to";"Nutrient runoff into water bodies (24)";"1";"0"
"con_1";"imp_1";"Causes";"test desc (test ref)";"1";"0"
"con_13";"con_18";;;"1";"1"
"con_2";"con_4";;"test desc (test ref)";"1";"1"
"con_2";"consq_1";"Contributes to";"Intoxicates water bodies (25)";"1";"0"
"con_2";"consq_2";"Causes";"Harmful substances in soil (25)";"1";"0"
"con_2";"consq_3";"Contributes to";"Entering air through evaporation, spray drift during application, and wind erosion of contaminated soil (25)";"1";"0"
"consq_1";"imp_1";"Contributes to";"test desc (test ref)";"1";"0"
"consq_1";"imp_8";;;"1";"0"
"consq_2";"consq_1";;"Pollutants and contaminants leaching into ground water (test)";"1";"1"
"consq_3";"consq_1";;;"1";"1"
"consq_3";"consq_5";;;"1";"1"
"iCountry_1";"item_1";"Top Consumer & Top Importer & Significant Producer";"U.S. is the largest Consumer market for Joint Health Supplements (3). U.S. is the largest Importer of Joint Health Supplements (~33% of global shipments) (3). U.S. is a notable Producer of Joint Health Supplements (48, 67)";"3";"0"
"iCountry_1";"item_2";"Top Producer";"The US is a major Producer of Gummies, including both flavored confectionery and dietary supplement varieties (48, 107, 108)";"1";"0"
"iCountry_11";"item_1";"Significant Consumer";"The EU is a notable Consumer of Joint Health Supplements, ~20% of global market share (5)";"1";"0"
"iCountry_2";"item_1";"Significant Exporter";"Australia is a major Exporter of Joint Health Supplements (67)";"1";"0"
"iCountry_32";"item_2";"Significant Producer";"Germany is a traditional hub for confectionery production and a major Producer of gummy candies, best known for the brand Haribo (48, 107, 108)";"1";"0"
"iCountry_4";"item_1";"Top Producer & Top Exporter";"China is the largest Supplier and Manufacturer of Joint Health Supplements, ~80% of global production (1). China is the largest Exporter of Joint Health Supplements, also largest share in US imports (~77%) (2)";"2";"0"
"iCountry_4";"item_2";"Top Producer";"China is one of the largest Producers of gummies globally, leading in both flavored confectionery and dietary supplement varieties (48, 107, 108)";"1";"0"
"iCountry_6";"item_1";"Significant Consumer & Significant Producer";"Japan is a significant Consumer of Joint Health Supplements due to aging population (2). Japan is a major Producer of Joint Health Supplements in Asia-Pacific (2)";"2";"0"
"iCountry_6";"item_2";"Recognised Producer";"Japan is a notable Producer of Gummies, known for unique flavors and textures, producing both confectionery and dietary supplement varieties (48, 107)";"1";"0"
"iCountry_7";"item_1";"Significant Producer & Significant Exporter";"India is a major Producer and Exporter of Joint Health Supplements (4). India is a major Exporter of Joint Health Supplements (48, 67)";"2";"0"
"iCountry_9";"item_1";"Significant Importer";"Vietnam is a significant Importer of Joint Health Supplements (~18% of global shipments) (3, 67)";"1";"0"
"icCountry_1";"ind_1";"Global Leader & Top Exporter";"The US has the largest Corn Farming industry, producing ~354.19M tonnes, with ~57.79M tonnes exported (2022-2023) (9, 38). The US is the largest Exporter of Corn, ~US$14.3B, 2024 (8)";"2";"0"
"icCountry_1";"ind_10";"Significant Grower";"The US has a major Cattle Farming industry, with a large herd (~92.08M, 2022) and leading Beef Production despite a smaller head count than India, Brazil, and China (50)";"1";"0"
"icCountry_1";"ind_11";"Significant Processor";"The US ranks among the top 5 in annual Cattle Slaughter, ~30.9M head (2025) (96)";"1";"0"
"icCountry_1";"ind_17";"Significant Grower";"The US has a significant Pig Farming industry, ranking among the top producers globally, though far behind China, with a pig population of ~74.5M (2021-2025) (94, 95)";"1";"0"
"icCountry_1";"ind_18";"Recognised Processor";"The US ranks among the top in Swine Slaughter, after China and the EU, with ~131.8M pigs killed/year (97)";"1";"0"
"icCountry_1";"ind_20";"Top Importer";"The US is the leading Importer of Live Bovines by both value and head count (~$2.99B, ~2M head, 2024) (84)";"1";"0"
"icCountry_1";"ind_21";"Recognised Importer";"The US, along with Spain, is a significant Livestock Bovine Importer (~$208.75M, ~4.88M head, 2024) (85)";"1";"0"
"icCountry_1";"ind_29";"Significant Exporter";"The United States is a notable Exporter of live poultry/fowls—including chickens, ducks, geese, turkeys, and guinea fowls—ranking high by trade value (~$359.62M) with a lower export quantity (~81.75M head, 2024) (86, 87, 88, 89)";"1";"0"
"icCountry_1";"ind_30";"Significant Processor";"The US ranks 2nd in Poultry Slaughter after China, with ~9.75B fowls/year (2023), incl. chickens, turkeys, ducks, though far behind in number (98)";"1";"0"
"icCountry_1";"ind_4";"Significant Catcher";"The US has well-established lobster and shrimp fisheries (43)";"1";"0"
"icCountry_1";"ind_5";"Global Leader";"The USA is the undisputed global leader in Biotechnology, leading in both firm numbers and R&D (48, 73, 74)";"1";"0"
"icCountry_1";"ind_6";"Significant Producer";"The US is among the top global shrimp producers with ~837,622 tonnes (40, 41)";"1";"0"
"icCountry_10";"ind_15";"Significant Catcher";"Indonesia ranks 2nd globally in Fisheries production, with 7.4M tonnes in 2022, about half of China's (75)";"1";"0"
"icCountry_10";"ind_16";"Top Catcher";"Indonesia is the undisputed leader in Shark Fishing, consistently ranking first in global shark catch across years and reports (48, 76, 77, 78)";"1";"0"
"icCountry_10";"ind_3";"Significant Player";"Indonesia has a growing Crustacean Processing industry, notably frozen and prepared shrimps and prawns, with exports valued at $1.35 billion (39, 81, 82)";"1";"0"
"icCountry_10";"ind_30";"Significant Processor";"Indonesia ranks in the top 5 for Poultry Slaughter, with ~4.96B fowls/year (incl. chickens, ducks; 2023) (98)";"1";"0"
"icCountry_10";"ind_4";"Significant Catcher";"Indonesia is a major crustacean catcher, with coastal and small-scale fisheries yielding significant shrimp and crab catches (43)";"1";"0"
"icCountry_10";"ind_8";"Significant Grower";"Indonesia is a notable and emerging producer of mud and soft-shell crabs (44)";"1";"0"
"icCountry_11";"ind_1";"Significant Grower";"The EU has a significant Corn Farming industry, producing ~58M tonnes, but remains below domestic demand of ~77.4M tonnes (2022-2023) (38)";"1";"0"
"icCountry_11";"ind_11";"Recognised Processor";"The EU is a notable processor in Cattle Slaughter, ~22.5M cows killed/year (2025) (96)";"1";"0"
"icCountry_11";"ind_18";"Recognised Processor";"The EU slaughters ~220M pigs/year—ranking 2nd globally in Swine Slaughter, though far behind China (2025) (97)";"1";"0"
"icCountry_11";"ind_20";"Significant Exporter";"The EU is a notable Livestock Bovine Exporter by value, along with Brazil (~$837M, ~615K head, 2024) (83)";"1";"0"
"icCountry_11";"ind_29";"Top Exporter";"The EU is the leading Exporter of young chickens (chicks) by value and head count, ~$349.18M, ~185.3M (86)";"1";"0"
"icCountry_13";"ind_1";"Significant Grower & Top Exporter";"Brazil has the 3rd largest Corn Farming industry, after the US and China, producing ~136M tonnes and exporting ~47M tonnes (2022-2023) (9, 38). Brazil is the second largest exporter of Corn, ~US$8.2B, 2024 (8)";"2";"0"
"icCountry_13";"ind_10";"Significant Grower";"Brazil has the second-largest cattle herd (~193.78M, 2022), ranking 2nd in both beef production and Cattle Farming industry (50)";"1";"0"
"icCountry_13";"ind_11";"Top Processor";"Brazil is one of the leading countries in Cattle Slaughter after China, with ~47.5M head/year (2025) (96)";"1";"0"
"icCountry_13";"ind_17";"Significant Grower";"Brazil is a significant grower in Pig Farming, ranking after the US with a pig population of ~44.4M (2021-2025) (94, 95)";"1";"0"
"icCountry_13";"ind_20";"Significant Exporter";"Brazil is a notable Livestock Bovine Exporter by value, alongside the EU (~$848M, 2024) (83)";"1";"0"
"icCountry_13";"ind_30";"Significant Processor";"Brazil is among the top countries in Poultry Slaughter after China and the US, with ~6.30B fowls/year (incl. chickens, turkeys; 2023) (98)";"1";"0"
"icCountry_14";"ind_1";"Significant Grower & Significant Exporter";"Argentina is the 2nd largest Corn producer in South America after Brazil and is one of the top global producers with production ~ 55M tonnes (8, 38). Argentina is a significant Exporter of Corn, ~US$6.6B, 2024 (8)";"2";"0"
"icCountry_14";"ind_16";"Recognised Catcher";"Argentina is a notable Shark-Catching nation in the South Atlantic, with both targeted and incidental catches (48, 76, 77)";"1";"0"
"icCountry_15";"ind_1";"Significant Exporter";"Ukraine is within the top 5 Exporters of Corn, ~US$5.1B, 2024 (8)";"1";"0"
"icCountry_17";"ind_8";"Significant Grower";"The Philippines is a notable producer of blue swimming crabs, primarily for export (44)";"1";"0"
"icCountry_20";"ind_5";"Top Player";"The UK is Europe's biotech leader, long ranked in the top 10 globally and second only to the US in number of biotech firms (48, 73, 74)";"1";"0"
"icCountry_21";"ind_16";"Significant Catcher";"Spain is Europe’s top Shark-Catching nation, targeting multiple shark species (48, 76, 77, 78)";"1";"0"
"icCountry_21";"ind_17";"Recognised Grower";"Spain has a recognised Pig Farming industry, known for high-quality pork products, with a pig population of ~34.1M (2021-2025) (94, 95)";"1";"0"
"icCountry_21";"ind_20";"Significant Importer";"Spain is a significant Livestock Bovine Importer by head count (~1M head, ~$371M, 2024) (84)";"1";"0"
"icCountry_21";"ind_21";"Recognised Importer";"Spain, along with the US, is a significant Livestock Bovine Importer (~$333.6M, ~3.7M head, 2024) (85)";"1";"0"
"icCountry_22";"ind_16";"Significant Catcher";"Taiwan is a major Shark-Catching nation, with targeted longline fisheries harvesting a wide range of shark species (48, 76, 77)";"1";"0"
"icCountry_25";"ind_5";"Significant Player";"Ireland is another emerging biotechnology player, ranking 4th in R&D intensity after Lithuania (48, 73)";"1";"0"
"icCountry_26";"ind_5";"Significant Player";"Switzerland is a significant player in Biotechnology, leading in R&D gloabally and amongst the top 10 by market share (48, 73, 74)";"1";"0"
"icCountry_27";"ind_29";"Significant Importer";"Belgium is a notable Importer of live poultry/fowls—including young and mature chickens, ducks, geese, turkeys, and guinea fowls—with a trade value of ~$219.79M and import quantity of ~87.57M head (2024) (90, 91, 92, 93)";"1";"0"
"icCountry_27";"ind_5";"Significant Player";"Belgium is a notable biotech hub, close to Switzerland in R&D intensity (48, 73, 74)";"1";"0"
"icCountry_28";"ind_20";"Top Exporter";"France is the leading country in Livestock Bovine Export (~$1.79B, ~1.4M head, 2024) (83)";"1";"0"
"icCountry_28";"ind_29";"Significant Exporter";"France is a major Exporter of live poultry/fowls—including chickens, ducks, geese, turkeys, and guinea fowls—with a trade value of ~$415.91M and ~114.73M head (2024) (86, 87, 88, 89)";"1";"0"
"icCountry_28";"ind_5";"Significant Player";"France is a notable player in biotechnology, ranking 3rd globally in number of active biotech firms (48, 73)";"1";"0"
"icCountry_29";"ind_5";"Significant Player";"Lithuania is an emerging biotechnology player, ranking amongst the top 3 in R&D intensity after Switzerland and Belgium (48, 73)";"1";"0"
"icCountry_3";"ind_20";"Top Exporter";"Canada is close to France as a leading Exporter of Live Bovines by value (~$1.69B, ~824K head, 2024) (83)";"1";"0"
"icCountry_3";"ind_21";"Recognised Exporter";"Canada is an emerging Exporter of Livestock Porcine, though trade value and volume remain significantly lower than Denmark and the Netherlands (~$208M, ~4.88M head, 2024) (85)";"1";"0"
"icCountry_3";"ind_4";"Recognised Catcher";"Canada has emerging lobster and snow crab fisheries (43)";"1";"0"
"icCountry_3";"ind_5";"Significant Player";"Canada is a notable biotechnology player, ranking after France in number of active biotech firms (48, 73)";"1";"0"
"icCountry_30";"ind_15";"Significant Catcher";"Peru has a significant Fisheries industry, ranking 4th globally with 5.4M tonnes in 2022, closely behind India (75)";"1";"0"
"icCountry_31";"ind_15";"Significant Catcher";"Russia is a major capture Fisheries producer, ranking 5th globally with 5M tonnes in 2022 (75)";"1";"0"
"icCountry_32";"ind_21";"Top Importer";"Germany is the leading country in Live Swine (Porcine) Import (~$844.7M, ~9.2M head, 2024) (85)";"1";"0"
"icCountry_32";"ind_29";"Significant Importer";"Germany is a notable Importer of live poultry/fowls—including young and mature chickens, ducks, geese, turkeys, and guinea fowls—ranking high by trade value (~$316.15M) with an import quantity of ~120.25M head (2024) (90, 91, 92, 93)";"1";"0"
"icCountry_34";"ind_20";"Significant Importer";"Italy is the second-largest Importer of Live Bovines by value (~$2B, ~1M head, 2024) (84)";"1";"0"
"icCountry_35";"ind_20";"Recognised Importer";"Netherlands is an emerging Livestock Bovine Importer by head count (~957K head, ~$369M, 2024) (84)";"1";"0"
"icCountry_35";"ind_21";"Significant Exporter";"Netherlands is the 2nd largest Live Swine (Porcine) Exporter after Denmark by trade value and quantity (~$636M, ~7.44M head, 2024) (85)";"1";"0"
"icCountry_35";"ind_29";"Significant Exporter & Top Importer";"The Netherlands is a major Exporter of live poultry/fowls—including chickens, ducks, geese, turkeys, and guinea fowls—ranking after France by trade value (~$410.04M) but leading in export quantity (~346.91M head, 2024) (86, 87, 88, 89). The Netherlands is the leading Importer of live poultry/fowls—including young and mature chickens, ducks, geese, turkeys, and guinea fowls—by both trade value (~$972.52M) and quantity (~359.91M head, 2024) (90, 91, 92, 93)";"2";"0"
"icCountry_36";"ind_21";"Top Exporter";"Denmark is the world's largest Live Swine (Porcine) Exporter both by trade value and quantity (~$1.6B, ~17.5M head, 2024) (85)";"1";"0"
"icCountry_37";"ind_21";"Top Importer";"Poland is one of the top Importers of Live Swine (Porcine), following Germany (~$784M, ~7.8M head, 2024) (85)";"1";"0"
"icCountry_37";"ind_29";"Significant Importer";"Poland is a notable Importer of live poultry/fowls—including young and mature chickens, ducks, geese, turkeys, and guinea fowls—with a trade value of ~$262.47M and import quantity of ~171.83M head (2024) (90, 91, 92, 93)";"1";"0"
"icCountry_4";"ind_1";"Significant Grower";"China is the second-largest Corn Grower, primarily for domestic use, producing ~274M tonnes vs ~295M tonnes of domestic demand (2022-2023) (10, 38)";"1";"0"
"icCountry_4";"ind_10";"Significant Grower";"China has the 3rd largest cattle population (~98.17M, 2022) and Cattle Farming industry (50)";"1";"0"
"icCountry_4";"ind_11";"Global Leader";"China is the leading country in Cattle Slaughter, with ~52.5M cows killed per year (2025) (96)";"1";"0"
"icCountry_4";"ind_15";"Top Catcher";"China has the largest Fishing industry in the world, catching 13.2M tonnes in 2022 (75)";"1";"0"
"icCountry_4";"ind_17";"Top Grower";"China leads in Pig Farming, with the world’s largest pig population at ~452.6M (2021-2025) (94, 95)";"1";"0"
"icCountry_4";"ind_18";"Global Leader";"China leads globally in Swine Slaughter, ~700M pigs/year (2025) (97)";"1";"0"
"icCountry_4";"ind_3";"Top Player";"China leads the Crustacean Processing industry, following its massive aquaculture production and fisheries, notably frozen and prepared shrimps, prawns, and crabs, exporting processed products valued at $2.35B (39, 79, 81, 82)";"1";"0"
"icCountry_4";"ind_30";"Global Leader";"China leads in Poultry Slaughter, killing ~16.27B fowls/year (2023), incl. chickens, ducks, and geese (98)";"1";"0"
"icCountry_4";"ind_4";"Top Catcher";"China leads in crustacean fisheries and overall fishing, mostly for domestic consumption, with crabs as a targeted species (43)";"1";"0"
"icCountry_4";"ind_6";"Top Producer";"China has the largest shrimp farming industry, with an estimated production of 1.487M tonnes (40, 41)";"1";"0"
"icCountry_4";"ind_8";"Top Grower";"China is an undisputed leader in crab aquaculture, especially Chinese mitten crab (~779,000 metric tonnes in 2019), Gazami, and mud crabs (44, 72)";"1";"0"
"icCountry_4";"ind_9";"Top Producer";"China has the largest crayfish farming industry, dominating global crayfish aquaculture (47)";"1";"0"
