"id";"ref";"tags"
1;https://www.nutritionaloutlook.com/view/glucosamine-still-standing-strong;glucosamine, china, producer
2;https://www.marketreportsworld.com/market-reports/glucosamine-supplements-market-14715168;glucosamine, china, exporter, japan, consumer, producer
3;https://www.volza.com/p/glucosamine/import/;glucosamine, import
4;https://www.databridgemarketresearch.com/reports/global-glucosamine-market/recent-developments;glucosamine, india, producer
5;https://www.mordorintelligence.com/industry-reports/glucosamine-market;glucosamine, eu, consumer
6;https://www.volza.com/p/chitin/export/hsn-code-39139090/;chitin, exporter, importer
7;https://www.grandviewresearch.com/industry-analysis/global-chitosan-market;chitin, producer, exporter
8;https://www.worldstopexports.com/corn-exports-country/;corn, export
9;https://www.investopedia.com/articles/markets-economy/090316/6-countries-produce-most-corn.asp;corn, producer
10;https://www.indexmundi.com/agriculture/?country=cn&commodity=corn&graph=production;corn, producer
11;https://oec.world/en/profile/bilateral-product/corn/reporter/chn;corn, importer, china
12;https://oec.world/en/profile/bilateral-product/corn/reporter/kor;corn, importer, korea
13;https://www.worldstopexports.com/corn-imports-by-country/;corn, importer
14;https://www.statista.com/statistics/691175/consumption-corn-worldwide-by-country/;corn, consumer
15;https://www.reportlinker.com/dataset/dfa20782db75d434204b87b01df292756a22f58d#:~:text=As%20of%202024%2C%20the%20United,supply%20chains%20and%20consumption%20patterns.;corn, consumer
16;https://www.agriculturedive.com/news/us-corn-exports-to-mexico-expected-to-hit-record-high/709863/;corn, consumer
17;https://www.zauba.com/dried-shrimp-shells-import-data-2fle59vkm64u/report;dried shrimp shells, exporters, US market
18;https://www.verifiedmarketreports.com/product/shrimp-extract-market/;shrimp, extract, byproduct
19;https://www.pib.gov.in/PressReleaseIframePage.aspx?PRID=2026456;seafood, export
20;https://www.seafdec.org/fisheries-country-profile-thailand/;seafood, export, thailand
21;https://www.seafoodsource.com/news/supply-trade/vietnam-s-seafood-exports-rise-indicating-market-recovery-is-underway;seafood, export, vietnam
22;https://www.nccih.nih.gov/health/glucosamine-and-chondroitin-for-osteoarthritis-what-you-need-to-know;glucosamine, chondroitin, effect
23;https://doi.org/10.3390/jcm13237444;glucosamine, evidence, effect
24;https://www.epa.gov/nutrientpollution/effects;nutrient pollution, consequence
25;https://www.epa.gov/pesticides/pesticides-impacts-environment;consequence, pesticides
26;https://www.usgs.gov/special-topics/water-science-school/science/groundwater-decline-and-depletion;consequence, groundwater depletion
27;https://www.nrcs.usda.gov/conservation-basics/natural-resource-concerns/soil;soil erosion, nutrient loss, consequence
28;https://doi.org/10.7759/cureus.40192;chondroitin sulfate, supplement, evidence
29;https://doi.org/10.1002/14651858.CD005614.pub2;chondroitin sulfate, combined with glucosamine, supplement, evidence
30;https://pmc.ncbi.nlm.nih.gov/articles/PMC10918363/#b0010;crustacean shells, seafood processing
31;https://www.sciencedirect.com/science/article/abs/pii/S0269749120363442?via%3Dihub;shrimps, crustacean production
32;https://bioresourcesbioprocessing.springeropen.com/articles/10.1186/s40643-019-0243-y;chitin extraction methods from marine waste
33;https://pmc.ncbi.nlm.nih.gov/articles/PMC10918363/#b0020;chitin extraction methods
34;https://doi.org/10.4060/cc0461en;crustacean shells from fisheries and aquaculture, FAO
35;https://doi.org/10.1016/j.copbio.2019.02.010;filamentous fungi applications
36;https://www.polarismarketresearch.com/industry-analysis/lobster-market;lobster market share, size
37;https://globaltribune.net/global-crab-market;global crab production, 2022
38;https://www.world-grain.com/media/photos/155-world-s-top-10-corn-producers;top 10 corn producers
39;https://oec.world/en/profile/hs/processed-crustaceans;processed crustacean trade, china
40;https://www.was.org/article/Shrimp-farming-advances-challenges-and-opportunities.aspx;shrimp production
41;https://www.globalseafood.org/advocate/annual-farmed-shrimp-production-survey-a-slight-decrease-in-production-reduction-in-2023-with-hopes-for-renewed-growth-in-2024/;shrimp farming
42;https://doi.org/10.1002/fee.2431;global rise of crustacean fisheries
43;Data compiled by Grok using info from the FAO FishStatJ database (2014) and the FAO Yearbook of Fishery and Aquaculture Statistics (2014). Accessed via https://www.fao.org/fishery/en/statistics. Cross-checked with ChatGPT.;wild-caught crustaceans
44;Data compiled by Grok using info from FAO FishStatJ and The Fish Site. Cross-checked with ChatGPT;crab farming
45;https://www.globalseafood.org/advocate/spiny-lobster-aquaculture/;lobster farming, vietnam
46;https://vietnamnews.vn/economy/1665511/viet-nam-s-lobsters-claw-back-prominence-in-china.html#:~:text=China%20was%20still%20the%20largest,the%20same%20period%20last%20year.;vietnam lobster export, china
47;Data compiled by Grok, ChatGPT, and Gemini from multiple sources, incl. https://www.expertmarketresearch.com/reports/crayfish-market;crayfish farming
48;Data compiled and summed by Grok and ChatGPT from multiple sources;general citation, grok, chatgpt, AI
49;https://www.iowafarmbureau.com/Article/World-Beef-Trade;beef, bovine, major players, export, import, produce, consume, 2025
50;https://ruminants.ceva.pro/beef-producing-countries;beef, bovine, producers
51;https://www.worldstopexports.com/top-beef-exporting-countries/;beef, bovine, exporters
52;https://www.aplf.com/2025/05/28/top-10-beef-exporting-countries/;beef, bovine, exporters
53;https://www.researchandmarkets.com/reports/5715843/global-pork-market-size-global-forecast-2023;pork, producer, exporter, consumer, importer
54;https://pmc.ncbi.nlm.nih.gov/articles/PMC11016693/;pork, pigs, production
55;https://www.statista.com/statistics/237619/export-of-pork-in-2008/;pork, export
56;https://www.statista.com/statistics/237595/pork-import-in-leading-countries-worldwide/;pork, import
57;https://media.rabobank.com/m/499086fd8103815b/original/World-Poultry-Map-2025.pdf;poultry, production, consumption, export, import
58;https://essfeed.com/top-10-largest-poultry-exporters-in-the-world/;poultry, export
59;https://www.statista.com/statistics/751000/export-of-poultry-meat-leading-exporter/;poultry, export
60;https://fungalbiolbiotech.biomedcentral.com/articles/10.1186/s40694-021-00131-6;filamentous fungi, key players
